Token,BIO_Tag
Kedua,O
Primair,O
Pasal,O
3,O
juncto,O
Pasal,O
2,O
Ayat,O
1,O
huruf,O
t,O
juncto,O
Pasal,O
10,O
UndangUndang,O
Republik,O
Indonesia,O
Nomor,O
8,O
Tahun,O
2010,O
tentang,O
Pencegahan,O
dan,O
Pemberantasan,O
Tindak,O
Pidana,O
Pencucian,O
Uang,O
juncto,O
Pasal,O
55,O
Ayat,O
1,O
ke1,O
KUHP,O
2,O
Menjatuhkan,O
pidana,O
terhadap,O
Terdakwa,O
IRZA,O
IFDIAL,O
SE,O
dengan,O
pidana,O
penjara,O
selama,O
13,O
tiga,O
belas,O
tahun,O
dikurangi,O
selama,O
Terdakwa,O
berada,O
dalam,O
tahanan,O
dan,O
denda,O
sebesar,O
Rp100000000000,B-MONEY
satu,O
miliar,O
rupiah,O
dengan,O
ketentuan,O
apabila,O
denda,O
tidak,O
dibayar,O
maka,O
Terdakwa,O
menggantinya,O
dengan,O
pidana,O
kurungan,O
selama,O
6,O
enam,O
bulan,O
3,O
Menyatakan,O
barang,O
bukti,O
berupa,O
1,O
Disita,O
dari,O
Saksi,O
Tommy,O
Hermin,O
Santoso,O
disita,O
pada,O
tanggal,O
3,O
Desember,O
2019,O
berupa,O
a3,O
tiga,O
lembar,O
Perjanjian,O
Kerjasama,O
Pengembangan,O
Lahan,O
Cibubur,O
tanggal,O
29,O
Desember,O
2017,O
antara,O
PT,B-ORG
Utama,I-ORG
Properti,I-ORG
Semesta,I-ORG
dan,O
PT,O
Ide,O
Cipta,O
Realti,O
b,O
Akta,O
Kesepakatan,O
Bersama,O
Nomor,O
13,O
tanggal,O
14,O
Mei,O
2018,O
antara,O
Sugiono,O
dengan,O
IRZA,O
IFDIAL,O
selaku,O
Direktur,O
Utama,O
PT,O
Ide,O
Cipta,O
Reatti,O
c,O
Bukti,O
pengiriman,O
dana,O
ke,O
rekening,O
Bank,B-ORG
Panin,I-ORG
Nomor,O
1005648642,O
atas,O
nama,O
PT,O
Ide,O
Cipta,O
Realti,O
masingmasing,O
1,O
Permohonan,O
pengiriman,O
uang,O
BCA,O
tanggal,O
19,O
Desember,O
2017,O
rekening,O
penerima,O
nomor,O
1005648642,O
atas,O
nama,O
PT,O
Ide,O
Cipta,O
Realti,O
sebesar,O
Rp250000000000,B-MONEY
pengirim,O
Margaretha,O
Marlize,O
2,O
Permohonan,O
pengiriman,O
uang,O
BCA,O
tanggal,O
11,O
April,O
2018,O
rekening,O
menerima,O
nomor,O
1005648642,O
atas,O
nama,O
PT,O
Ide,O
Cipta,O
Realti,O
sebesar,O
Rp40000000000,B-MONEY
pengirim,O
PT,O
Utama,O
Properti,O
Semesta,O
8,O
Formulir,O
Multiguna,O
Bank,O
Mayapada,O
tanggal,O
15,O
Mei,O
2018,O
rekening,O
penerima,O
nomor,O
1005648642,O
atas,O
nama,O
PT,O
Ide,O
Cipta,O
Realti,O
sebesar,O
Rp600000000000,O
1,O
satu,O
lembar,O
fotokopi,O
Cek,O
BCA,O
Nomor,O
CO,O
812106,O
tanggal,O
8,O
Juni,O
2018,O
sebesar,O
Rp500000000000,B-MONEY
dan,O
Permohonan,O
Pengiriman,O
Uang,O
BCA,O
tanggal,O
8,O
Juni,O
2018,O
rekening,O
penerima,O
nomor,O
1005648642,O
atas,O
nama,O
PT,O
Ide,O
Cipta,O
Realti,O
sebesar,O
Rp500000000000,O
pengirim,O
PT,O
Utama,O
Properti,O
Semesta,O
1,O
satu,O
lembar,O
fotokopi,O
Cek,O
BCA,O
Nomor,O
CO,O
812104,O
tanggal,O
2,O
Juni,O
2018,O
sebesar,O
Rp97500000000,B-MONEY
1,O
satu,O
lembar,O
fotokopi,O
Cek,O
BCA,O
Nomor,O
CO,O
812109,O
tanggal,O
10,O
Juli,O
2018,O
sebesar,O
Rp464800000000,B-MONEY
Aplikasi,O
Transfer,O
BCA,O
tanggal,O
17,O
Juli,O
2018,O
penerima,O
PT,O
Ide,O
Cipta,O
Realti,O
sebesar,O
Rp1950000000000,B-MONEY
Pengirim,O
PT,O
Utama,O
Properti,O
Semesta,O
Aplikasi,O
Transfer,O
BCA,O
tanggal,O
19,O
Juli,O
2018,O
penerima,O
PT,O
Ide,O
Cipta,O
Realti,O
sebesar,O
Rp314520000,B-MONEY
Pengirim,O
PT,O
Utama,O
Properti,O
Semesta,O
d,O
Print,O
out,O
email,O
IRZA,O
IFDIAL,O
tertanggal,O
8,O
Mei,O
2018,O
terlampir,O
tanda,O
terima,O
penyerahan,O
Cek,O
Bank,O
Panin,O
masingmasing,O
Nomor,O
BA322787,O
senilai,O
Rp1200000000000,O
Nomor,O
BA322788,O
senilai,O
Rp1400000000000,B-MONEY
dan,O
Nomor,O
BA322790,O
senilai,O
Rp3900000000000,B-MONEY
kepada,O
pemilik,O
lahan,O
yang,O
diwakili,O
oleh,O
Sunardi,O
4,O
Pai,O
6,O
6,O
7,O
8,O
e,O
Surat,O
Pernyataan,O
dan,O
Klarifikasi,O
Sunardi,O
tanggal,O
5,O
Maret,O
2019,O
kepada,O
Bp,O
Michael,O
Umboh,O
Dikembalikan,O
kepada,O
Saksi,O
Tommy,O
Hermin,O
Santoso,O
2,O
3,O
Disita,O
dari,O
Saksi,O
Tommy,O
Hermin,O
Santoso,O
disita,O
pada,O
tanggal,O
13,O
Februari,O
2020,O
berupa,O
a11,O
sebelas,O
lembar,O
Akta,O
Penyelesaian,O
Perjanjian,O
Penyelesaian,O
antara,O
PT,O
MAJ,O
Bekasi,O
Sejahtera,O
dan,O
PT,O
Ide,O
Cipta,O
Realti,O
Nomor,O
01,O
tanggal,O
1,O
Oktober,O
2018,O
1,O
satu,O
lembar,O
slip,O
setoran,O
Bank,O
Panin,O
tanggal,O
16,O
Juli,O
2018,O
o,O
penyetor,O
Sugiono,O
nomor,O
rekening,O
136235877,O
atas,O
nama,O
Sugiono,O
sebesar,O
Rp1900000000000,B-MONEY
sembilan,O
belas,O
miliar,O
rupiah,O
c,O
1,O
satu,O
lembar,O
Surat,O
Keterangan,O
Penolakan,O
SKP,O
PT,O
Bank,O
Panin,O
Tbk,O
Cabang,O
Cibubur,O
tanggal,O
16,O
Juli,O
2018,O
Nomor,O
Warkat,O
5322786,O
nominal,O
Rp1900000000000,O
sembilan,O
belas,O
miliar,O
rupiah,O
alasan,O
penolakan,O
Dana,O
Tidak,O
Cukup,O
Dikembalikan,O
kepada,O
Saksi,O
Tommy,O
Hermin,O
Santoso,O
Disita,O
dari,O
Saksi,O
Mohammad,O
Hilman,O
Hazazi,O
Tsalatsa,O
disita,O
pada,O
tanggal,O
3,O
Desember,O
2019,O
berupa,O
a2,O
dua,O
lembar,O
fotokopi,O
yang,O
dilegalisir,O
aplikasi,O
Pembukaan,O
rekening,O
BCA,O
1780033777,O
atas,O
nama,O
Harry,O
H,O
Goenawidjaja,O
b1,O
satu,O
set,O
rekening,O
koran,O
BCA,O
Cabang,O
Permata,O
Hijau,O
nomor,O
1780033777,O
atas,O
nama,O
Harry,O
H,O
Goenawidjaja,O
periode,O
bulan,O
Desember2017,O
sd,O
bulan,O
Agustus,O
2018,O
c3,O
tiga,O
lembar,O
fotokopi,O
yang,O
dilegalisir,O
Aplikasi,O
Pembukaan,O
rekening,O
BCA,O
KCP,O
Atrium,O
Setiabudi,O
Jakarta,O
Selatan,O
terdapat,O
rekening,O
nomor,O
7660122448,O
atas,O
nama,O
IRZA,O
IFDIAL,O
d1,O
satu,O
set,O
rekening,O
koran,O
BCA,O
KCP,O
Atrium,O
Setiabudi,O
Jakarta,O
Selatan,O
nomor,O
7660122448,O
atas,O
nama,O
IRZA,O
IFDIAL,O
periode,O
bulan,O
Desember,O
2017,O
sd,O
bulan,O
Agustus,O
2018,O
e3,O
tiga,O
lembar,O
fotokopi,O
yang,O
dilegalisir,O
aplikasi,O
pembukaan,O
rekening,O
BCA,O
Cabang,O
Gatot,O
Subroto,O
Jakarta,O
Selatan,O
nomor,O
1451299200,O
atas,O
nama,O
Dr,O
Ir,O
Sugeng,O
Purwanto,O
PhD,O
FRM,O
f,O
1,O
satu,O
set,O
rekening,O
koran,O
BCA,O
Cabang,O
Gatot,O
Subroto,O
Jakarta,O
Selatan,O
nomor,O
1451299200,O
atas,O
nama,O
Dr,O
Ir,O
Sugeng,O
Purwanto,O
PhD,O
FRM,O
periode,O
bulan,O
Desember,O
2017,O
sd,O
bulan,O
Agustus,O
2018,O
Dikembalikan,O
kepada,O
Saksi,O
Mohammad,O
Hilman,O
Hazazi,O
Tsalatsa,O
4,O
Disita,O
dari,O
Saksi,O
Harry,O
Agung,O
Marojahan,O
disita,O
pada,O
tanggal,O
4,O
Desember,O
2019,O
berupa,O
a2,O
dua,O
lembar,O
fotokopi,O
yang,O
dilegalisir,O
aplikasi,O
pembukaan,O
rekening,O
Bank,O
Panin,O
Nomor,O
1005648642,O
atas,O
nama,O
PT,O
Ide,O
Cipta,O
Reatti,O
b4,O
empat,O
lembar,O
rekening,O
koran,O
Bank,O
Panin,O
Cabang,O
Senayan,O
Nomor,O
1005648642,O
atas,O
nama,O
PT,O
Ide,O
Cipta,O
Realti,O
periode,O
tanggal,O
22,O
Desember,O
2017,O
sd,O
14,O
Maret,O
2019,O
Dikembalikan,O
kepada,O
Saksi,O
Harry,O
Agung,O
Marojahan,O
5,O
Disita,O
dari,O
Saksi,O
Sugiono,O
disita,O
pada,O
tanggal,O
2,O
Juni,O
2020,O
berupa,O
1,O
satu,O
lembar,O
fotokopi,O
Cek,O
Bank,O
Panin,O
Nomor,O
BA322786,O
tanggal,O
15,O
Juli,O
2018,O
sejumlah,O
Rp1900000000000,O
Dikembalikan,O
kepada,O
Saksi,O
Sugiono,O
6,O
Disita,O
dari,O
Terdakwa,O
IRZA,O
IFDIAL,O
berupa,O
a,O
Uang,O
tunai,O
sebesar,O
Rp000,O
nol,O
rupiah,O
dari,O
rekening,O
BCA,O
Cabang,O
Permata,O
Hijau,O
Nomor,O
1780033777,O
atas,O
nama,O
Harry,O
H,O
Goenawidjaja,O
Dikembalikan,O
kepada,O
Terdakwa,O
IRZA,O
IFDIAL,O
b,O
Uang,O
tunai,O
sebesar,O
Rp10928548600,O
seratus,O
sembilan,O
juta,O
dua,O
ratus,O
delapan,O
puluh,O
lima,O
ribu,O
empat,O
ratus,O
delapan,O
puluh,O
enam,O
rupiah,O
dari,O
rekening,O
BCA,O
KCP,O
Atrium,O
Setiabudi,O
Jakarta,O
Selatan,O
nomor,O
7660122448,O
atas,O
nama,O
IRZA,O
IFDIAL,O
Dikembalikan,O
kepada,O
yang,O
berhak,O
dalam,O
hal,O
ini,O
Saksi,O
Tommy,O
Hermin,O
Santoso,O
4,O
Menetapkan,O
agar,O
Terdakwa,O
membayar,O
biaya,O
perkara,O
sebesar,O
Rp500000,O
lima,O
ribu,O
rupiah,O
Membaca,O
Putusan,O
Pengadilan,O
Negeri,O
Jakarta,O
Selatan,O
Nomor,O
833,O
PidB2020PN,O
JktSel,O
tanggal,O
28,O
Januari,O
2021,O
yang,O
amar,O
lengkapnya,O
sebagai,O
berikut,O
1,O
Menyatakan,O
Terdakwa,O
IRZA,O
IFDIAL,O
SE,O
terbukti,O
secara,O
sah,O
dan,O
meyakinkan,O
bersalah,O
melakukan,O
tindak,O
pidana,O
Turut,O
serta,O
melakukan,O
penggelapan,O
dan,O
pencucian,O
uang,O
sebagaimana,O
dalam,O
dakwaan,O
Kesatu,O
dan,O
Kedua,O
Primair,O
Menjatuhkan,O
pidana,O
kepada,O
Terdakwa,O
IRZA,O
IFDIAL,O
SE,O
tersebut,O
oleh,O
karena,O
itu,O
dengan,O
pidana,O
penjara,O
selama,O
8,O
delapan,O
tahun,O
dan,O
denda,O
sejumlah,O
Rp100000000000,O
satu,O
miliar,O
rupiah,O
dengan,O
ketentuan,O
jika,O
denda,O
tidak,O
dibayar,O
harus,O
diganti,O
dengan,O
pidana,O
kurungan,O
selama,O
6,O
enam,O
bulan,O
Menetapkan,O
seperlima,O
dari,O
masa,O
penahanan,O
Kota,O
yang,O
dijalani,O
Terdakwa,O
dikurangkan,O
dari,O
pidana,O
yang,O
dijatuhkan,O
Menetapkan,O
agar,O
barang,O
bukti,O
nomor,O
1,O
sampai,O
dengan,O
nomor,O
6,O
selengkapnya,O
sebagaimana,O
diuraikan,O
dalam,O
Tuntutan,O
Pidana,O
Penuntut,O
Umum,O
tanggal,O
19,O
November,O
2020,O
yaitu,O
1,O
Disita,O
dari,O
Saksi,O
Tommy,O
Hermin,O
Santoso,O
disita,O
pada,O
tanggal,O
3,O
Desember,O
2019,O
dikembalikan,O
kepada,O
Saksi,O
Tommy,O
Hermin,O
Santoso,O
2,O
Disita,O
dari,O
Saksi,O
Tommy,O
Hermin,O
Santoso,O
disita,O
pada,O
tanggal,O
13,O
Februari,O
2020,O
dikembalikan,O
kepada,O
Saksi,O
Tommy,O
Hermin,O
Santoso,O
3,O
Disita,O
dari,O
Saksi,O
Mohammad,O
Hilman,O
Hazazi,O
Tsalatsa,O
disita,O
pada,O
tanggal,O
3,O
Desember,O
2019,O
dikembalikan,O
kepada,O
Saksi,O
Mohammad,O
Hilman,O
Hazazi,O
Tsalatsa,O
4,O
bui,O
Disita,O
dari,O
Saksi,O
Harry,O
Agung,O
Marojahan,O
disita,O
pada,O
tanggal,O
4,O
Desember,O
2019,O
dikembalikan,O
kepada,O
Saksi,O
Harry,O
Agung,O
Marojahan,O
Disita,O
dari,O
Saksi,O
Sugiono,O
disita,O
pada,O
tanggal,O
2,O
Juni,O
2020,O
dikembalikan,O
kepada,O
Saksi,O
Sugiono,O
6,O
Disita,O
dari,O
Terdakwa,O
IRZA,O
IFDIAL,O
berupa,O
a,O
Uang,O
tunai,O
sebesar,O
Rp000,O
nol,O
rupiah,O
dari,O
rekening,O
BCA,O
Cabang,O
Permata,O
Hijau,O
Nomor,O
1780033777,O
atas,O
nama,O
Harry,O
H,O
Goenawidjaja,O
dikembalikan,O
kepada,O
Terdakwa,O
IRZA,O
IFDIAL,O
b,O
Uang,O
tunai,O
sebesar,O
Rp10928548600,O
seratus,O
sembilan,O
juta,O
dua,O
ratus,O
delapan,O
puluh,O
lima,O
ribu,O
empat,O
ratus,O
delapan,O
puluh,O
enam,O
rupiah,O
dari,O
rekening,O
BCA,O
KCP,O
Atrium,O
Setiabudi,O
Jakarta,O
Selatan,O
nomor,O
7660122448,O
atas,O
nama,O
IRZA,O
IFDIAL,O
dikembalikan,O
kepada,O
Saksi,O
Tommy,O
Hermin,O
Santoso,O
5,O
5,O
Menetapkan,O
agar,O
Terdakwa,O
dibebani,O
membayar,O
biaya,O
perkara,O
sebesar,O
Rp500000,O
lima,O
ribu,O
rupiah,O
Membaca,O
Putusan,O
Pengadilan,O
Tinggi,O
DKI,O
Jakarta,O
Nomor,O
68PID,O
2021PT,O
DKI,O
tanggal,O
17,O
Mei,O
2021,O
yang,O
amar,O
lengkapnya,O
sebagai,O
berikut,O
Menerima,O
permintaan,O
banding,O
dari,O
Penuntut,O
Umum,O
dan,O
Penasihat,O
Hukum,O
Terdakwa,O
tersebut,O
Mengubah,O
Putusan,O
Pengadilan,O
Negeri,O
Jakarta,O
Selatan,O
Nomor,O
833PidB,O
2020PN,O
JktSel,O
tanggal,O
28,O
Januari,O
2021,O
yang,O
dimintakan,O
banding,O
tersebut,O
sekedar,O
mengenai,O
tidak,O
terbuktinya,O
dakwaan,O
Kedua,O
dan,O
lamanya,O
pidana,O
yang,O
dijatuhkan,O
kepada,O
Terdakwa,O
sehingga,O
amar,O
putusan,O
selengkapnya,O
adalah,O
sebagai,O
berikut,O
1,O
Menyatakan,O
Terdakwa,O
IRZA,O
IFDIAL,O
SE,O
tersebut,O
tidak,O
terbukti,O
secara,O
sah,O
dan,O
meyakinkan,O
bersalah,O
melakukan,O
tindak,O
pidana,O
Pencucian,O
uang,O
sebagaimana,O
didakwakan,O
dalam,O
dakwaan,O
pada,O
dakwaan,O
Kedua,O
2,O
Membebaskan,O
Terdakwa,O
oleh,O
karena,O
itu,O
dari,O
dakwaan,O
Kedua,O
tersebut,O
3,O
Menyatakan,O
Terdakwa,O
IRZA,O
IFDIAL,O
SE,O
terbukti,O
secara,O
sah,O
dan,O
meyakinkan,O
bersalah,O
melakukan,O
tindak,O
pidana,O
Turut,O
serta,O
dalam,O
penggelapan,O
sebagaimana,O
dalam,O
dakwaan,O
Kesatu,O
4,O
Menjatuhkan,O
pidana,O
kepada,O
Terdakwa,O
IRZA,O
IFDIAL,O
SE,O
tersebut,O
oleh,O
karena,O
itu,O
dengan,O
pidana,O
penjara,O
selama,O
3,O
tiga,O
tahun,O
dan,O
8,O
delapan,O
bulan,O
5,O
Menetapkan,O
seperlima,O
dari,O
masa,O
penahanan,O
Kota,O
yang,O
dijalani,O
Terdakwa,O
dikurangkan,O
dari,O
pidana,O
yang,O
dijatuhkan,O
6,O
Menyatakan,O
Terdakwa,O
tetap,O
berada,O
di,O
luar,O
tahanan,O
7,O
Menetapkan,O
agar,O
barang,O
bukti,O
berupa,O
Barang,O
bukti,O
nomor,O
1,O
sampai,O
dengan,O
nomor,O
6,O
selengkapnya,O
sebagaimana,O
dalam,O
Putusan,O
Pengadilan,O
Negeri,O
Jakarta,O
Selatan,O
Nomor,O
833PidB2020PN,O
JktSel,O
tanggal,O
28,O
Januari,O
2021,O
8,O
Menetapkan,O
agar,O
Terdakwa,O
dibebani,O
membayar,O
biaya,O
perkara,O
pada,O
dua,O
tingkat,O
pengadilan,O
di,O
tingkat,O
banding,O
ditetapkan,O
sejumlah,O
Rp250000,O
dua,O
ribu,O
lima,O
ratus,O
rupiah,O
Membaca,O
Akta,O
Permohonan,O
Kasasi,O
Nomor,O
33AktaPid2021PN,O
Jkt,O
Sel,O
yang,O
dibuat,O
oleh,O
Panitera,O
pada,O
Pengadilan,O
Negeri,O
Jakarta,O
Selatan,O
yang,O
menerangkan,O
bahwa,O
pada,O
tanggal,O
8,O
Juni,O
2021,O
Penuntut,O
Umum,O
pada,O
Kejaksaan,O
Negeri,O
Jakarta,O
Selatan,O
mengajukan,O
permohonan,O
kasasi,O
terhadap,O
Putusan,O
Pengadilan,O
Tinggi,O
DKI,O
Jakarta,O
tersebut,O
Membaca,O
Akta,O
Permohonan,O
Kasasi,O
Nomor,O
33AktaPid2021PN,O
Jkt,O
Sel,O
yang,O
dibuat,O
oleh,O
Panitera,O
pada,O
Pengadilan,O
Negeri,O
Jakarta,O
Selatan,O
yang,O
menerangkan,O
bahwa,O
pada,O
tanggal,O
18,O
Juni,O
2021,O
Penasihat,O
Hukum,O
Terdakwa,O
mengajukan,O
permohonan,O
kasasi,O
terhadap,O
Putusan,O
Pengadilan,O
Tinggi,O
DKI,O
Jakarta,O
tersebut,O
Membaca,O
Memori,O
Kasasi,O
tanggal,O
22,O
Juni,O
2021,O
dari,O
Penuntut,O
Umum,O
pada,O
Kejaksaan,O
Negeri,O
Jakarta,O
Selatan,O
sebagai,O
Pemohon,O
Kasasi,O
I,O
yang,O
diterima,O
di,O
Kepaniteraan,O
Pengadilan,O
Negeri,O
Jakarta,O
Selatan,O
pada,O
tanggal,O
22,O
Juni,O
2021,O
Membaca,O
Memori,O
Kasasi,O
tanggal,O
1,O
Juli,O
2021,O
dari,O
Penasihat,O
Hukum,O
Terdakwa,O
berdasarkan,O
Surat,O
Kuasa,O
Khusus,O
tanggal,O
1,O
Februari,O
2021,O
sebagai,O
Pemohon,O
Kasasi,O
II,O
yang,O
diterima,O
di,O
Kepaniteraan,O
Pengadilan,O
Negeri,O
Jakarta,O
Selatan,O
pada,O
tanggal,O
1,O
Juli,O
2021,O
Membaca,O
pula,O
suratsurat,O
lain,O
yang,O
bersangkutan,O
Menimbang,O
bahwa,O
Putusan,O
Pengadilan,O
Tinggi,O
DKI,O
Jakarta,O
tersebut,O
telah,O
diberitahukan,O
kepada,O
Penuntut,O
Umum,O
pada,O
Kejaksaan,O
Negeri,O
Jakarta,O
Selatan,O
pada,O
tanggal,O
2,O
Juni,O
2021,O
dan,O
Penuntut,O
Umum,O
tersebut,O
mengajukan,O
permohonan,O
kasasi,O
pada,O
tanggal,O
8,O
Juni,O
2021,O
serta,O
memori,O
kasasinya,O
telah,O
diterima,O
di,O
Kepaniteraan,O
Pengadilan,O
Negeri,O
Jakarta,O
Selatan,O
pada,O
tanggal,O
22,O
Juni,O
2021,O
Dengan,O
demikian,O
permohonan,O
kasasi,O
beserta,O
dengan,O
alasan,O
alasannya,O
telah,O
diajukan,O
dalam,O
tenggang,O
waktu,O
dan,O
dengan,O
cara,O
menurut,O
undangundang,O
oleh,O
karena,O
itu,O
permohonan,O
kasasi,O
Penuntut,O
Umum,O
tersebut,O
secara,O
formal,O
dapat,O
diterima,O
Menimbang,O
bahwa,O
Putusan,O
Pengadilan,O
Tinggi,O
DKI,O
Jakarta,O
tersebut,O
telah,O
diberitahukan,O
kepada,O
Penasihat,O
Hukum,O
Terdakwa,O
pada,O
tanggal,O
4,O
Juni,O
2021,O
dan,O
Penasihat,O
Hukum,O
Terdakwa,O
tersebut,O
mengajukan,O
permohonan,O
kasasi,O
pada,O
tanggal,O
18,O
Juni,O
2021,O
serta,O
memori,O
kasasinya,O
telah,O
diterima,O
di,O
Kepaniteraan,O
Pengadilan,O
Negeri,O
Jakarta,O
Selatan,O
pada,O
tanggal,O
1,O
Juli,O
2021,O
Dengan,O
demikian,O
permohonan,O
kasasi,O
beserta,O
dengan,O
alasanalasannya,O
telah,O
diajukan,O
dalam,O
tenggang,O
waktu,O
dan,O
dengan,O
cara,O
menurut,O
undang,O
undang,O
oleh,O
karena,O
itu,O
permohonan,O
kasasi,O
Terdakwa,O
tersebut,O
secara,O
formal,O
dapat,O
diterima,O
Menimbang,O
bahwa,O
alasan,O
kasasi,O
yang,O
diajukan,O
Pemohon,O
Kasasi,O
Penuntut,O
Umum,O
dan,O
Pemohon,O
Kasasi,O
ITerdakwa,O
dalam,O
memori,O
kasasi,O
selengkapnya,O
termuat,O
dalam,O
berkas,O
perkara,O
Menimbang,O
bahwa,O
terhadap,O
alasan,O
kasasi,O
yang,O
diajukan,O
Pemohon,O
Kasasi,O
Penuntut,O
Umum,O
dan,O
Pemohon,O
Kasasi,O
IlTerdakwa,O
tersebut,O
Mahkamah,O
Agung,O
berpendapat,O
sebagai,O
berikut,O
Terhadap,O
alasan,O
kasasi,O
Pemohon,O
Kasasi,O
IITerdakwa,O
1,O
Bahwa,O
alasan,O
kasasi,O
Terdakwa,O
pada,O
pokoknya,O
menyatakan,O
putusan,O
judex,O
facti,O
telah,O
salah,O
menerapkan,O
hukum,O
karena,O
perbuatan,O
Terdakwa,O
selaku,O
Direktur,O
Utama,O
PT,O
Ide,O
Cipta,O
Realti,O
yang,O
menandatangani,O
dokumen,O
keuangan,O
dalam,O
pengalihan,O
dana,O
milik,O
PT,O
MAJ,O
Bekasi,O
Sejahtera,O
tidak,O
dapat,O
dikuallifikasi,O
sebagai,O
delik,O
penyertaan,O
deelneming,O
sehingga,O
Terdakwa,O
harus,O
dinyatakan,O
tidak,O
terbukti,O
bersalah,O
melakukan,O
tindak,O
pidana,O
Penggelapan,O
dan,O
pencucian,O
uang,O
dan,O
harus,O
dibebaskan,O
dari,O
segala,O
dakwaan,O
Penuntut,O
Umum,O
N,O
Bahwa,O
alasan,O
kasasi,O
Terdakwa,O
tidak,O
dapat,O
dibenarkan,O
karena,O
berdasarkan,O
fakta,O
persidangan,O
Terdakwa,O
selaku,O
Direktur,O
Utama,O
PT,O
Ide,O
Cipta,O
Realti,O
bersama,O
dengan,O
Saksi,O
Harry,O
H,O
Goenawidjaja,O
selaku,O
Komisaris,B-PER
Utama,I-PER
PT,O
Ide,O
Cipta,O
Realti,O
terbukti,O
telah,O
menggunakan,O
dana,O
kerja,O
sama,O
pengadaanpembebasan,O
lahan,O
dan,O
pembangunan,O
apartemen,O
di,O
Jalan,O
Alternatif,O
Cibubur,O
dengan,O
PT,O
MAJ,O
Bekasi,O
Sejahtera,O
sejumlah,O
Rp3902614520000,O
tiga,O
puluh,O
sembilan,O
miliar,O
dua,O
puluh,O
enam,O
juta,O
seratus,O
empat,O
puluh,O
lima,O
ribu,O
dua,O
ratus,O
rupiah,O
di,O
luar,O
kerja,O
sama,O
yang,O
telah,O
disepakati,O
dan,O
Terdakwa,O
menempatkan,O
dana,O
dari,O
PT,O
MAJ,O
Bekasi,O
Sejahtera,O
tersebut,O
ke,O
dalam,O
bentuk,O
